input,intent,response,title
hi how much is shipping ji,price_inquiry,jeans are rs. 999rs. 2499. good quality for the price!,Price Related Query
exchange possible,order_status,happy to help! please share your order id,Order Support
what's available for women,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
any ethnic wear,product_inquiry,"we have casual, ethnic, formal activewear. anything specific?",Product Inquiry
biggest size you have need to know,size_inquiry,"yes, xl is available right now",Size Inquiry
so like hand wash only?,material_inquiry,machine wash safe. doesn't shrink or fade,Material Inquiry
bro weekend delivery?,delivery_query,delivery in 35 working days,Delivery Information
2 day delivery?,delivery_query,we ship all over india! what's your city?,Delivery Information
got any printed shirts,product_inquiry,"we have shirts, kurtas, jeans, tops, dresses more",Product Inquiry
order tracking,order_status,share your order number and we'll track it for you,Order Support
shirt sze 42 need to know,size_inquiry,which product? i'll check the size for you,Size Inquiry
yo purchase missing right now,order_status,sorry for the delay! please share order id so we can help,Order Support
i'm good now,goodbye,glad i could help! take care,Goodbye
i wanted to ask is it securely packed...,delivery_query,delivery in 35 working days,Delivery Information
i wanted to ask do you sell accessories,product_inquiry,"we have shirts, kurtas, jeans, tops, dresses more",Product Inquiry
double payment...,order_status,please share a photo order id for damagedwrong item,Order Support
quick question do you have this right now,availability_check,black is available in most sizes,Stock Availability
btw hey are you there,greeting,hi what's up? how can i assist?,Greeting
pls bro got size large?plz,size_inquiry,we carry s to 3xl for most products,Size Inquiry
is it true that order cancel?,order_status,sorry for the delay! please share order id so we can help,Order Support
how many days quickly,delivery_query,express delivery available in 12 days for select cities,Delivery Information
umm fabric type? right now,material_inquiry,cotton-polyester blend. good quality!,Material Inquiry
perfect thanks,goodbye,thanks! hope to see your order soon,Goodbye
also great help thanks??,goodbye,take care! ping us whenever you need,Goodbye
actually how much for shipping if possible,delivery_query,yes we deliver there! 35 days estimated,Delivery Information
quick question do you have casual wear thanks,product_inquiry,"we have casual, ethnic, formal activewear. anything specific?",Product Inquiry
is this still being sold,availability_check,"limited stock remaining, better order soon!",Stock Availability
wondering if fabic qualty pls,material_inquiry,"yes pure cotton, breathable skin friendly",Material Inquiry
order delivered?,order_status,refund processed in 57 days after we receive the item,Order Support
credit card discount,price_inquiry,we have options starting rs. 299! what's your budget?,Price Related Query
cooling fabric,material_inquiry,premium quality fabric comfortable and durable,Material Inquiry
jacket cost if possible,price_inquiry,yes we have stuff under rs. 500 want me to show you?,Price Related Query
wondering if signature required on delivery!,delivery_query,you'll get a tracking link once dispatched,Delivery Information
rate?,price_inquiry,free delivery on orders above rs. 999,Price Related Query
pink colour,availability_check,restocking this week. want me to notify you?,Stock Availability
i heard that recycled fabric thanks,material_inquiry,"soft stretchable fabric, very comfortable",Material Inquiry
helo,greeting,"hey, welcome! what are you shopping for?",Greeting
is it organic cotton,material_inquiry,"soft stretchable fabric, very comfortable",Material Inquiry
i wanted to ask package stolen quickly,order_status,we'll raise it with the courier. please share order id,Order Support
please wrong address given quickly,delivery_query,"we use trusted couriers delhivery, bluedart dtdc",Delivery Information
ok got the info,goodbye,thanks! hope to see your order soon,Goodbye
quick question ok closing,goodbye,thanks! hope to see your order soon,Goodbye
someone told me hi i need help?,greeting,hi! how can we help you today?,Greeting
bro availble hai? fast,availability_check,"yes, available right now!",Stock Availability
so like hello pls help quickly,greeting,hello! tell me what you need,Greeting
wondering if purchase not received asap,order_status,we take this seriously share the order id and we'll fix it!,Order Support
please kids size 8 years need to know,size_inquiry,xl is in stock! want to order?,Size Inquiry
where's my order asap,order_status,happy to help! please share your order id,Order Support
also can i get xxl ?,size_inquiry,"we have s, m, l, xl xxl in most items",Size Inquiry
how much for a suit,price_inquiry,kurtas range rs. 599rs. 2499 depending on design,Price Related Query
so like got any hoodies? quickly,product_inquiry,"we have shirts, kurtas, jeans, tops, dresses more",Product Inquiry
pls do u have this right now bro,availability_check,let me check which color and size?,Stock Availability
is it true that is the fabric thick if possible,material_inquiry,it's linen perfect for summer!,Material Inquiry
my size is xl available,size_inquiry,"yes, xl is available right now",Size Inquiry
do u have size 10 for kids,size_inquiry,we go up to 3xl which item are you asking about?,Size Inquiry
salwar suit,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
total cost if possible,price_inquiry,shirts start from rs. 499. which one are you looking at?,Price Related Query
someone told me do you have in green if possible,availability_check,currently in stock want me to reserve one for you?,Stock Availability
wondering if only one left quickly,availability_check,restocking this week. want me to notify you?,Stock Availability
non stretch,material_inquiry,"high quality fabric, won't fade after wash",Material Inquiry
order nahi aaya,order_status,please share your order id and ill look it up,Order Status
is the colour fast,material_inquiry,it's 100 cotton fabric,Material Inquiry
yo price for xl sizepls,price_inquiry,price depends on the item. which one are you asking about?,Price Related Query
so biggest size you have quickly,size_inquiry,let me check the size for you which item are you looking at?,Size Inquiry
your collection,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
kya material hai isme,material_inquiry,"yes pure cotton, breathable skin friendly",Material Inquiry
please shade variations urgent,availability_check,"limited stock remaining, better order soon!",Stock Availability
kitna discount milega,price_inquiry,jeans are rs. 999rs. 2499. good quality for the price!,Price Related Query
hi can you assist me,greeting,"hey, welcome! what are you shopping for?",Greeting
order number check,order_status,please share your order id and ill look it up,Order Status
bro sale going on? today,price_inquiry,yes we have stuff under rs. 500 want me to show you?,Price Related Query
delivery free please,delivery_query,delivery depends on your pin code. what's your location?,Delivery Information
can you tell me average prise,price_inquiry,free delivery on orders above rs. 999,Price Related Query
hey hand wash only? today,material_inquiry,"yes pure cotton, breathable skin friendly",Material Inquiry
wrong address purchase,order_status,please share a photo order id for damagedwrong item,Order Support
bag amount,price_inquiry,jeans are rs. 999rs. 2499. good quality for the price!,Price Related Query
i heard that rate today,price_inquiry,free delivery on orders above rs. 999,Price Related Query
yo today,greeting,hey! we're here. ask away!,Greeting
wondering if amount for xl size right now,price_inquiry,we have great prices across all budgets. what's your range?,Price Related Query
i wanted to ask byepls,goodbye,bye! we're always here if you need us,Goodbye
just asking stock khatam ho gaya? bro,availability_check,"yes, available right now!",Stock Availability
is this bamboo fabric,material_inquiry,cotton-polyester blend. good quality!,Material Inquiry
i heard that hello team!,greeting,hey! we're here. ask away!,Greeting
hey i need something,greeting,"hey, welcome! what are you shopping for?",Greeting
formal shirt cost,price_inquiry,we have options starting rs. 299! what's your budget?,Price Related Query
do i pay for return shipping,order_status,we take this seriously share the order id and we'll fix it!,Order Support
bro how long to tier 2 city thanks,delivery_query,shipping charge is rs. 49rs. 99 for smaller orders,Delivery Information
please do you have slim fit quickly,size_inquiry,size m is available. what product do you need it for?,Size Inquiry
umm size 10 shoes today,size_inquiry,we carry s to 3xl for most products,Size Inquiry
someone told me hi,greeting,hey there! happy to help,Greeting
i'll come back,goodbye,glad i could help! take care,Goodbye
can i pick up in store,delivery_query,free delivery on orders above rs. 999,Delivery Information
bootcut available,size_inquiry,we carry s to 3xl for most products,Size Inquiry
contactless delivery,delivery_query,free delivery on orders above rs. 999,Delivery Information
hi there,greeting,hello! welcome what can i do for you?,Greeting
can i change address,delivery_query,you'll get a tracking link once dispatched,Delivery Information
do you know if is it breathable,material_inquiry,"very soft and lightweight material, ideal for daily use",Material Inquiry
hi urgent delvery?pls,delivery_query,you'll get a tracking link once dispatched,Delivery Information
ok i'll place order,goodbye,thanks for visiting! see you soon,Goodbye
bro does it fade,material_inquiry,"very soft and lightweight material, ideal for daily use",Material Inquiry
hi wrong address given in order thank you,order_status,happy to help! please share your order id,Order Support
i wanted to ask what is the fabric like right now,material_inquiry,it's 100 cotton fabric,Material Inquiry
umm how many days to return...,order_status,we'll raise it with the courier. please share order id,Order Support
just asking just checking if available fast,availability_check,"that color is currently out of stock, restock in 7 days",Stock Availability
can you tell me helo,greeting,hey there! happy to help,Greeting
so like shipping kitne din mein bro,delivery_query,we ship all over india! what's your city?,Delivery Information
hi given to neighbor today,order_status,refund processed in 57 days after we receive the item,Order Support
good afternoon,greeting,hey! we're here. ask away!,Greeting
umm i'll come back if possible,goodbye,thanks for visiting! see you soon,Goodbye
biggest size you have,size_inquiry,let me check the size for you which item are you looking at?,Size Inquiry
do you know if do you have small pls,size_inquiry,we carry s to 3xl for most products,Size Inquiry
quick q shirt ka size 42? ?,size_inquiry,size m is available. what product do you need it for?,Size Inquiry
also ordder missing ji,order_status,share your order number and we'll track it for you,Order Support
also hi quickly,greeting,"hey, welcome! what are you shopping for?",Greeting
blazer rate,price_inquiry,price depends on the item. which one are you asking about?,Price Related Query
pls weekend delivery? ji,delivery_query,we ship all over india! what's your city?,Delivery Information
yo did u get my order asap,order_status,please share a photo order id for damagedwrong item,Order Support
any belts,product_inquiry,"we have shirts, kurtas, jeans, tops, dresses more",Product Inquiry
pls how much for 2 pieces,price_inquiry,we have options starting rs. 299! what's your budget?,Price Related Query
bro affordable hai kya asap,price_inquiry,jeans are rs. 999rs. 2499. good quality for the price!,Price Related Query
please got boxers pls,product_inquiry,lots of new stuff in! what kind of clothing do you need?,Product Inquiry
also how much for a suit...,price_inquiry,yes we have stuff under rs. 500 want me to show you?,Price Related Query
international shipping,delivery_query,delivery in 35 working days,Delivery Information
regular fit available,size_inquiry,size m is available. what product do you need it for?,Size Inquiry
does it wrinkle easily asap,material_inquiry,machine wash safe. doesn't shrink or fade,Material Inquiry
what you got,product_inquiry,"yes! we carry men's, women's kids' clothing. what are you looking for?",Product Inquiry
amount deducted no purchase,order_status,please share your order id and i'll check right away!,Order Support
purchase shipped,order_status,happy to help! please share your order id,Order Support
btw refund kab milega?,order_status,cancellation possible before dispatch. share order id!,Order Support
btw hello pls help ?,greeting,"hey, welcome! what are you shopping for?",Greeting
is the colour fast,material_inquiry,"made of soft cotton, very comfortable for daily wear",Material Inquiry
sale going on,price_inquiry,we have great prices across all budgets. what's your range?,Price Related Query
just asking any party wear? bro,product_inquiry,"we have shirts, kurtas, jeans, tops, dresses more",Product Inquiry
so what's hot right now...,product_inquiry,lots of new stuff in! what kind of clothing do you need?,Product Inquiry
is it true that noted thanks quickly,goodbye,great talking to you! come back soon,Goodbye
anyone active,greeting,hey! how can i help you?,Greeting
btw is it out of stock...,availability_check,"limited stock remaining, better order soon!",Stock Availability
can you tell me new collection thanks,product_inquiry,"yes, lots of options! what category are you interested in?",Product Inquiry
actually what about kurta sets quickly,product_inquiry,new arrivals just dropped! tell me what you're looking for,Product Inquiry
what about kurta sets,product_inquiry,"we have shirts, kurtas, jeans, tops, dresses more",Product Inquiry
just asking 3xl available thanks,size_inquiry,"yes, xl is available right now",Size Inquiry
quick q address change possible today,delivery_query,you'll get a tracking link once dispatched,Delivery Information
replacement request,order_status,cancellation possible before dispatch. share order id!,Order Support
do you know if kids size 4 years pls,size_inquiry,we go up to 3xl which item are you asking about?,Size Inquiry
heyy,greeting,"hey, welcome! what are you shopping for?",Greeting
i wanted to ask hi i want to place an order,greeting,hi what's up? how can i assist?,Greeting
size m available?,size_inquiry,we go up to 3xl which item are you asking about?,Size Inquiry
show me tops,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
please do u have m in stock today,size_inquiry,"yes, that size is available! which item?",Size Inquiry
price,price_inquiry,yes we have budget options! starting from rs. 299,Price Related Query
how many days,delivery_query,delivery in 35 working days,Delivery Information
refund status,order_status,please share your order id and ill look it up,Order Status
salwar available,availability_check,let me check! which product and color?,Availability Check
wondering if brown color available,availability_check,"that color is currently out of stock, restock in 7 days",Stock Availability
i heard that do you have casual wear right now,product_inquiry,"got a fresh collection just in casual, ethnic formals",Product Inquiry
umm hi i want to place an order??,greeting,hi what's up? how can i assist?,Greeting
hi do you have shoes need to know,product_inquiry,"got a fresh collection just in casual, ethnic formals",Product Inquiry
order placed twice,order_status,we take this seriously share the order id and we'll fix it!,Order Support
please hi i need help urgent,greeting,hi what's up? how can i assist?,Greeting
so like delivery kitne din mein bro,delivery_query,we ship all over india! what's your city?,Delivery Information
status batao,order_status,cancellation possible before dispatch. share order id!,Order Support
bro should i size down?,size_inquiry,size m is available. what product do you need it for?,Size Inquiry
do you know if later,goodbye,bye! we're always here if you need us,Goodbye
next day delivery,delivery_query,we ship all over india! what's your city?,Delivery Information
also deliver to my city quickly,delivery_query,we ship all over india! what's your city?,Delivery Information
yo ok thanks bro,goodbye,bye! we're always here if you need us,Goodbye
cost range??,price_inquiry,price depends on the item. which one are you asking about?,Price Related Query
shirt size 42,size_inquiry,yes we have that size! which product?,Size Inquiry
i heard that machine wash ok today,material_inquiry,"yes pure cotton, breathable skin friendly",Material Inquiry
btw can i exhange for correct size,order_status,cancellation possible before dispatch. share order id!,Order Support
also hey quick question urgent,greeting,hey! we're here. ask away!,Greeting
do you stock all szes thanks,size_inquiry,"yes, xl is available right now",Size Inquiry
also size 34 available thank you,size_inquiry,"yes, that size is available! which item?",Size Inquiry
size 6 shoes thank you,size_inquiry,"yes, that size is available! which item?",Size Inquiry
bro heyyy,greeting,hey there! happy to help,Greeting
hey is this cottton? urgent,material_inquiry,"high quality fabric, won't fade after wash",Material Inquiry
size chart?,size_inquiry,we go up to 3xl which item are you asking about?,Size Inquiry
i heard that really appreciate it thanks,goodbye,glad i could help! take care,Goodbye
track my purchase,order_status,please share a photo order id for damagedwrong item,Order Support
anything below 1000,price_inquiry,yes we have stuff under rs. 500 want me to show you?,Price Related Query
so beige available??,availability_check,in stock! which size do you need?,Stock Availability
do you know if farbic type thanks,material_inquiry,"very soft and lightweight material, ideal for daily use",Material Inquiry
pls mera order?,order_status,refund processed in 57 days after we receive the item,Order Support
deliver to mumbai,delivery_query,we use trusted couriers delhivery bluedart dtdc,Delivery Query
quick q bro available hai?plz,availability_check,yes available! want to place an order?,Stock Availability
got jackets,product_inquiry,"we have casual, ethnic, formal activewear. anything specific?",Product Inquiry
kids size 6 years,size_inquiry,we carry s to 3xl for most products,Size Inquiry
so like ty ji,goodbye,take care! ping us whenever you need,Goodbye
order update please?,order_status,we take this seriously share the order id and we'll fix it!,Order Support
do you have shoes,product_inquiry,"yes! we carry men's, women's kids' clothing. what are you looking for?",Product Inquiry
silky feel,material_inquiry,"made of soft cotton, very comfortable for daily wear",Material Inquiry
shipping on sunday?,delivery_query,yes we deliver there! 35 days estimated,Delivery Information
hey size 44 available quickly,size_inquiry,let me check the size for you which item are you looking at?,Size Inquiry
hoodie amount,price_inquiry,shirts start from rs. 499. which one are you looking at?,Price Related Query
please rescheduled delivery thank you,order_status,happy to help! please share your order id,Order Support
hi bro,greeting,hey there! happy to help,Greeting
please one item missing asap,order_status,happy to help! please share your order id,Order Support
hey thank you very much??,goodbye,anytime! have a great day,Goodbye
dark shade,availability_check,"yes, available right now!",Stock Availability
which courier do you use!,delivery_query,delivery depends on your pin code. what's your location?,Delivery Information
hi bro got size large? right now,size_inquiry,xl is in stock! want to order?,Size Inquiry
i heard that saving your number,goodbye,anytime! have a great day,Goodbye
umm hiii right now,greeting,hello! tell me what you need,Greeting
is it true that ok noted need to know,goodbye,great talking to you! come back soon,Goodbye
quick q hello! quick question!,greeting,hi what's up? how can i assist?,Greeting
can you tell me gift wrapping available please,delivery_query,delivery depends on your pin code. what's your location?,Delivery Information
hey 3xl avlbl? ji,size_inquiry,which product? i'll check the size for you,Size Inquiry
bro medium available? fast,size_inquiry,"yes, xl is available right now",Size Inquiry
pls later!,goodbye,bye! come back anytime,Goodbye
please can i change address pls,delivery_query,express delivery available in 12 days for select cities,Delivery Information
please what do u sell...,product_inquiry,new arrivals just dropped! tell me what you're looking for,Product Inquiry
is it true that satin material?,material_inquiry,"soft stretchable fabric, very comfortable",Material Inquiry
also thanks a lot urgent,goodbye,glad i could help! take care,Goodbye
do you have in green,availability_check,yes that's available! want to go ahead and order?,Stock Availability
umm how long to chennai,delivery_query,"we use trusted couriers delhivery, bluedart dtdc",Delivery Information
what's hot right now,product_inquiry,"we have shirts, kurtas, jeans, tops, dresses more",Product Inquiry
hey later??,goodbye,take care! ping us whenever you need,Goodbye
yo prcie? ji,price_inquiry,free delivery on orders above rs. 999,Price Related Query
btw hlo,greeting,hi there! what are you looking for?,Greeting
so is it true to size,size_inquiry,we go up to 3xl which item are you asking about?,Size Inquiry
kya XL milega,size_inquiry,yes we have that size! which product?,Size Inquiry
is this rayon today,material_inquiry,"soft stretchable fabric, very comfortable",Material Inquiry
wanted to know shipping charge!,delivery_query,yes we deliver there! 35 days estimated,Delivery Information
coral available,availability_check,yes that's available! want to go ahead and order?,Stock Availability
please size 38 shirt available right now,size_inquiry,which product? i'll check the size for you,Size Inquiry
i heard that what fabric is used if possible,material_inquiry,machine wash safe. doesn't shrink or fade,Material Inquiry
i heard that what do you sell quickly,product_inquiry,"yes! we carry men's, women's kids' clothing. what are you looking for?",Product Inquiry
is this seasonalpls,availability_check,"limited stock remaining, better order soon!",Stock Availability
someone told me thanks man pls,goodbye,bye! we're always here if you need us,Goodbye
rate fix hai kya,price_inquiry,price depends on the item. which one are you asking about?,Price Related Query
smallest size?,size_inquiry,which product? i'll check the size for you,Size Inquiry
btw price of this shirt urgent,price_inquiry,kurtas range rs. 599rs. 2499 depending on design,Price Related Query
actually do u have siz 10 for kids quickly,size_inquiry,size m is available. what product do you need it for?,Size Inquiry
actually cost with delivery? urgent,price_inquiry,shirts start from rs. 499. which one are you looking at?,Price Related Query
btw is it true to size...,size_inquiry,"yes, that size is available! which item?",Size Inquiry
quick question evening delivery slot,delivery_query,free delivery on orders above rs. 999,Delivery Information
umm po box delivery today,delivery_query,delivery depends on your pin code. what's your location?,Delivery Information
yo free delivery? ?,delivery_query,free delivery on orders above rs. 999,Delivery Information
saree cost,price_inquiry,price depends on the item. which one are you asking about?,Price Related Query
see you,goodbye,thanks for visiting! see you soon,Goodbye
do u have more stock,availability_check,black is available in most sizes,Stock Availability
bro thank you right now,goodbye,thanks! hope to see your order soon,Goodbye
hi any sale items?!,product_inquiry,"we have shirts, kurtas, jeans, tops, dresses more",Product Inquiry
logging off,goodbye,bye! we're always here if you need us,Goodbye
bro hypoallergenic material??,material_inquiry,"soft stretchable fabric, very comfortable",Material Inquiry
bro bookmarking this right now,goodbye,glad i could help! take care,Goodbye
terry cloth material,material_inquiry,"high quality fabric, won't fade after wash",Material Inquiry
do you have polo shirts,product_inquiry,"yes! we carry men's, women's kids' clothing. what are you looking for?",Product Inquiry
pls is this cotton? asap,material_inquiry,"yes pure cotton, breathable skin friendly",Material Inquiry
is it organic cotton,material_inquiry,"made of soft cotton, very comfortable for daily wear",Material Inquiry
size 32 jeans?,size_inquiry,xl is in stock! want to order?,Size Inquiry
bro amount same for all sizes?,price_inquiry,price depends on the item. which one are you asking about?,Price Related Query
cotton hai kya,material_inquiry,premium quality fabric comfortable and durable,Material Inquiry
hi shirt ka siez 42? quickly,size_inquiry,"yes, that size is available! which item?",Size Inquiry
hey are you there,greeting,hi there! what are you looking for?,Greeting
how much for shipping,delivery_query,yes we deliver there! 35 days estimated,Delivery Information
so like order confirm hua? urgent,order_status,we'll raise it with the courier. please share order id,Order Support
is it true that peach color,availability_check,restocking this week. want me to notify you?,Stock Availability
does it wrinkle easily,material_inquiry,"high quality fabric, won't fade after wash",Material Inquiry
any sneakers,product_inquiry,"we sell tops, tees, jeans, kurtas, dresses more. what do you need?",Product Inquiry
free return pls,order_status,we'll raise it with the courier. please share order id,Order Support
holiday delivery? right now,delivery_query,free delivery on orders above rs. 999,Delivery Information
hi shop open,greeting,hey there! happy to help,Greeting
someone told me pre-shrunk fabric,material_inquiry,it's 100 cotton fabric,Material Inquiry
so how much for 2 pieces today,price_inquiry,price depends on the item. which one are you asking about?,Price Related Query
so like do u sell sareespls,product_inquiry,new arrivals just dropped! tell me what you're looking for,Product Inquiry
i wanted to ask hi i'm new here?,greeting,hey there! happy to help,Greeting
shipping by when,delivery_query,"we use trusted couriers delhivery, bluedart dtdc",Delivery Information
i want to return,order_status,sorry for the delay! please share order id so we can help,Order Support
order cancel,order_status,happy to help! please share your order id,Order Support
is it true that do you have this in black,availability_check,yes available! want to place an order?,Stock Availability
what's available,product_inquiry,"yes! we carry men's, women's kids' clothing. what are you looking for?",Product Inquiry
please very helpful,goodbye,thank you! happy shopping,Goodbye
hi click and collect today,delivery_query,free delivery on orders above rs. 999,Delivery Information
bro is it polyester need to know,material_inquiry,"made of soft cotton, very comfortable for daily wear",Material Inquiry
i wanted to ask kids size 12 years if possible,size_inquiry,we go up to 3xl which item are you asking about?,Size Inquiry
is it expensive,price_inquiry,we have options starting rs. 299! what's your budget?,Price Related Query
bro any socks,product_inquiry,"we have shirts, kurtas, jeans, tops, dresses more",Product Inquiry
i wanted to ask deliver pan india? fast,delivery_query,usually 35 days depending on your location,Delivery Information
got dresses?,product_inquiry,"we sell tops, tees, jeans, kurtas, dresses more. what do you need?",Product Inquiry
just asking hi i want to place an order?,greeting,hey! how can i help you?,Greeting
bro materail? right now,material_inquiry,cotton-polyester blend. good quality!,Material Inquiry
how much is shipping,price_inquiry,price depends on the item. which one are you asking about?,Price Related Query
when will order come if possible,order_status,we'll raise it with the courier. please share order id,Order Support
bro what sizes do u have fast,size_inquiry,we carry s to 3xl for most products,Size Inquiry
missing item in package,order_status,share your order number and we'll track it for you,Order Support
kurta size m available,size_inquiry,yes we have that size! which product?,Size Inquiry
someone told me size guide please,size_inquiry,we go up to 3xl which item are you asking about?,Size Inquiry
someone told me party wear rate thank you,price_inquiry,we have options starting rs. 299! what's your budget?,Price Related Query
just asking got plus size??,size_inquiry,let me check the size for you which item are you looking at?,Size Inquiry
quick q purchase number deke check karo ji,order_status,cancellation possible before dispatch. share order id!,Order Support
can u tell me finishing soon?plz,availability_check,"limited stock remaining, better order soon!",Stock Availability
bro order update do??,order_status,cancellation possible before dispatch. share order id!,Order Support
hi formal shirt cost please,price_inquiry,free delivery on orders above rs. 999,Price Related Query
how many days to delhi quickly,delivery_query,shipping charge is rs. 49rs. 99 for smaller orders,Delivery Information
hi cotton or synthetic??,material_inquiry,cotton-polyester blend. good quality!,Material Inquiry
what's trending now,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
is it true that what's trending now pls,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
also good quality fabric? yaar,material_inquiry,"high quality fabric, won't fade after wash",Material Inquiry
kurta for men,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
hello,greeting,hi what's up? how can i assist?,Greeting
also do u have in green bro,availability_check,restocking this week. want me to notify you?,Stock Availability
can u tell me package not delivered ji,order_status,please share a photo order id for damagedwrong item,Order Support
morning delivery possible,delivery_query,express delivery available in 12 days for select cities,Delivery Information
