input,intent,response,title
hello I want to buy palazzo,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
good morning looking for salwar,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hello want to check hoodie price,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hello want to check saree price,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
good morning I am looking for palazzo,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hey quick question about sherwani,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hello can anyone assist me with dhoti,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi team I need dress,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
heyy,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
good evening I want palazzo,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi anyone there,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hello want to check top price,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi I want to buy anarkali,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hey need L size dhoti,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi need help with t-shirt,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
good evening I want jeans,greeting,Good to have you here. What can I help you with?,Greeting
hey support quick query about jeans,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
good morning I am looking for jeans,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
heya,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hey quick question about kurta,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hey need help with saree,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
good morning want to buy white top,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hello want to check lehenga price,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hi is this the right place to buy dhoti,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hello I want to buy trousers,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
good morning looking for dress,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hey I want to buy lehenga,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi I am looking for sherwani for gents,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hey searching for t-shirt for gents,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hi I am looking for kurti for ladies,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hello can anyone assist me with dress,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hey searching for palazzo for boys,greeting,Good to have you here. What can I help you with?,Greeting
hi want kurti for men,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hello there,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hello need purple palazzo in L,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
good afternoon need jeans,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hey do you help with kurti selection,greeting,Good to have you here. What can I help you with?,Greeting
good afternoon need top,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi want dress for ladies,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hey need 30 size trousers,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hello can anyone assist me with t-shirt,greeting,Good to have you here. What can I help you with?,Greeting
hi is this the right place to buy hoodie,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hey need 36 size anarkali,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hey need 30 size sherwani,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hello need brown jacket in 40,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hello support I want kurta,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hi looking for grey salwar,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hey need 3XL size sherwani,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hello want to check churidar price,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
good afternoon looking for 42 hoodie,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hey need help with kurti,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hey do you help with shirt selection,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hi team I need saree,greeting,Good to have you here. What can I help you with?,Greeting
hi team I need dhoti,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hello need brown palazzo in 38,greeting,Good to have you here. What can I help you with?,Greeting
hello support I want jacket,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hey support quick query about shirt,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
anyone available,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi want dress for girls,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hi I am looking for hoodie for ladies,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
good evening I want salwar,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi is this the right place to buy dress,greeting,Good to have you here. What can I help you with?,Greeting
hi team I need trousers,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
good evening I want trousers,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
good night,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hello support I want kurti,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hey need 36 size trousers,greeting,Good to have you here. What can I help you with?,Greeting
hi I am looking for churidar for women,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hey do you help with churidar selection,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
good afternoon looking for 32 hoodie,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
good day,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hey do you help with dhoti selection,greeting,Hi! What brings you here today? I am here to assist.,Greeting
good morning looking for saree,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
good afternoon looking for 32 sherwani,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hello need grey hoodie in 28,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hey quick question about salwar,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi I need help,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hello want to check sherwani price,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hello need help with dhoti,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hey quick question,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hi team I need jeans,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hi I want to buy lehenga,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
good evening,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
good afternoon looking for 36 sherwani,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hey need L size saree,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hi want kurti for gents,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hey support quick query about lehenga,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
good morning want to buy brown dhoti,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi need help choosing anarkali,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi need help choosing jacket,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hi team I need hoodie,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hello need yellow churidar in 2XL,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hey quick question about dress,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hiii,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hi I am looking for trousers,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hey support quick query about jacket,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hey I am looking for shirt,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hello want to check t-shirt price,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
good morning want to buy teal anarkali,greeting,Good to have you here. What can I help you with?,Greeting
hey searching for trousers for ladies,greeting,Good to have you here. What can I help you with?,Greeting
hi want top for ladies,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi need help choosing t-shirt,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi I am looking for lehenga for ladies,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hello need red anarkali in XXL,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
good evening I want churidar,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi looking for red sherwani,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi I am looking for top for women,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi looking for green churidar,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
yo,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hello support I want churidar,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi want kurta for men,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hello support I want lehenga,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hello can anyone assist me with churidar,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hey need help with t-shirt,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hi is this the right place to buy shirt,greeting,Good to have you here. What can I help you with?,Greeting
good afternoon looking for 40 jacket,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hey do you help with t-shirt selection,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hi I am looking for shirt,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hello can you help me,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hello support I want t-shirt,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hi I am looking for t-shirt for ladies,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi team I need salwar,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hey do you help with lehenga selection,greeting,Good to have you here. What can I help you with?,Greeting
hi I am looking for dhoti for kids,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hi I want to buy t-shirt,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi quick question,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
good afternoon I am looking for saree,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hello need maroon kurti in M,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hello support I want palazzo,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi need help choosing kurta,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
good morning I am looking for top,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi want trousers for ladies,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi looking for cream anarkali,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hello need maroon dress in L,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
good morning want to buy teal jacket,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
looking for help,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hey need XS size anarkali,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi I am looking for lehenga,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi need help choosing trousers,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi need help with sherwani,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hi want palazzo for kids,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hi looking for navy churidar,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
need help here,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hey searching for dress for girls,greeting,Good to have you here. What can I help you with?,Greeting
good afternoon looking for 40 dress,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hi I am looking for trousers for men,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hello support I want hoodie,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi need help with saree,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hi want lehenga for gents,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi team I need kurti,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hello can anyone assist me with salwar,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
good afternoon looking for 32 churidar,greeting,Good to have you here. What can I help you with?,Greeting
hey there,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hi I am looking for salwar for boys,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hey I want to buy t-shirt,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hey searching for top for boys,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hello want to check palazzo price,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
good morning looking for kurta,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
good afternoon I am looking for hoodie,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hello need help with jacket,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi team I need t-shirt,greeting,Good to have you here. What can I help you with?,Greeting
hello I want to buy jacket,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hey need 38 size jeans,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hey need 2XL size hoodie,greeting,Hi! What brings you here today? I am here to assist.,Greeting
good afternoon looking for 34 t-shirt,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi need help choosing kurti,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hey support quick query about t-shirt,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hey searching for shirt for ladies,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hey quick question about dhoti,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
is anyone there,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
good morning want to buy green salwar,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hello need purple kurta in 2XL,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
good morning want to buy maroon kurta,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi want lehenga for boys,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hello need help with hoodie,greeting,Good to have you here. What can I help you with?,Greeting
good morning want to buy blue hoodie,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hey quick question about anarkali,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hey quick question about hoodie,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hi I am looking for churidar for men,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hello need orange salwar in 40,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hi is this the right place to buy lehenga,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hey need 42 size lehenga,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hello want to check anarkali price,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
good afternoon looking for 40 top,greeting,Good to have you here. What can I help you with?,Greeting
hey support quick query about trousers,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
good morning want to buy pink jacket,greeting,Hi! What brings you here today? I am here to assist.,Greeting
good morning want to buy beige saree,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi need help choosing sherwani,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
good evening I want kurti,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hi want shirt for women,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
good evening I want sherwani,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hi want dhoti for gents,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
helo,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
good afternoon,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hey searching for shirt for girls,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hey quick question about saree,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hi is this the right place to buy palazzo,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
please respond,greeting,Good to have you here. What can I help you with?,Greeting
hi I am looking for saree for ladies,greeting,Good to have you here. What can I help you with?,Greeting
hey need 40 size kurti,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hello need green salwar in XL,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hello need cream palazzo in 30,greeting,Hi! What brings you here today? I am here to assist.,Greeting
need assistance please,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi want jacket for boys,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hey quick question about top,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hello support I want salwar,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hello I am looking for trousers,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
good morning want to buy green anarkali,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hey searching for trousers for gents,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hi looking for navy top,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
good evening I want dhoti,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi I am looking for lehenga for kids,greeting,Good to have you here. What can I help you with?,Greeting
good morning want to buy red jeans,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hi I am looking for trousers for gents,greeting,Good to have you here. What can I help you with?,Greeting
hey need 32 size top,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
good morning looking for dhoti,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
good afternoon I am looking for sherwani,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi want kurta for kids,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hello need blue saree in XL,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hey I am looking for jacket,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi is this the right place to buy jeans,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hi looking for teal palazzo,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hello can anyone assist me with saree,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
good evening I want t-shirt,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hi looking for grey lehenga,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
good afternoon looking for 3XL palazzo,greeting,Good to have you here. What can I help you with?,Greeting
hey searching for salwar for boys,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hello need purple hoodie in 38,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
hey I want to buy jacket,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hello want to check trousers price,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hello can anyone assist me with palazzo,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hi want shirt for kids,greeting,Welcome! We have a great collection of Indian and Western wear.,Greeting
hey searching for dhoti for women,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
anybody home,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hello need grey dhoti in 40,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
hey need 28 size saree,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hi team I need jacket,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hi looking for blue salwar,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
good afternoon looking for 40 anarkali,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
good afternoon need dress,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
good afternoon I am looking for kurta,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hello want to check jacket price,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi I want to buy top,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
good afternoon looking for 38 dress,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hi want salwar for kids,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
good afternoon looking for 30 jeans,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hi need help with salwar,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hey I am looking for anarkali,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hi want dhoti for ladies,greeting,Good to have you here. What can I help you with?,Greeting
good morning want to buy black top,greeting,Hi! Happy to help you find the perfect outfit today.,Greeting
good morning looking for sherwani,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hey support quick query about sherwani,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hi want dhoti for girls,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
hello need help with kurta,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
good morning want to buy orange jacket,greeting,Hello and welcome! Ask me anything about our products or orders.,Greeting
hi looking for brown shirt,greeting,Good to have you here. What can I help you with?,Greeting
hello support I want sherwani,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hi looking for cream palazzo,greeting,Good to have you here. What can I help you with?,Greeting
hi is this the right place to buy kurta,greeting,"Hello! Feel free to ask about our products, prices, or orders.",Greeting
hello support I want top,greeting,Good to have you here. What can I help you with?,Greeting
hi I am looking for jeans,greeting,Hi! What brings you here today? I am here to assist.,Greeting
hi I am looking for jacket for kids,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
hi is this the right place to buy saree,greeting,Hello! Looking for ethnic or western wear? I can help.,Greeting
good morning want to buy orange hoodie,greeting,Hi there! Glad you are here. What are you looking for?,Greeting
good morning want to buy orange kurti,greeting,Welcome to our store! Browse our collection from Rs.299 to Rs.2999.,Greeting
hi want dhoti for women,greeting,Hello! Welcome to our store. How can I help you today?,Greeting
